trial, dist, RT, interstim, NumberofLED
1,-15,180,555,1
2,-15,168,459,1
3,0,26,673,1
4,-30,164,687,1
5,-15,247,338,1
6,-15,185,533,1
7,45,128,734,1
8,0,194,492,1
9,-15,199,429,1
10,0,191,382,1
11,30,147,724,1
12,15,190,721,1
13,-15,188,317,1
14,-15,331,722,1
15,-45,228,653,1
16,45,246,374,1
17,-45,212,488,1
18,-15,215,311,1
19,-15,203,371,1
20,-15,337,641,1
21,15,170,790,1
22,-45,203,704,1
23,-45,208,524,1
24,45,190,647,1
25,-45,194,759,1
26,15,213,705,1
27,-45,408,387,1
28,-45,250,484,1
29,15,215,464,1
30,-45,205,621,1
31,-30,239,344,1
32,-45,399,444,1
33,-15,183,663,1
34,15,256,389,1
35,15,191,764,1
36,0,315,315,1
37,15,194,554,1
38,15,183,706,1
39,30,365,445,1
40,0,197,429,1
41,15,200,526,1
42,-30,164,796,1
43,15,217,753,1
44,-15,270,521,1
45,-15,158,787,1
46,-15,205,605,1
47,30,211,684,1
48,15,200,447,1
49,-15,194,561,1
50,0,223,521,1
51,-15,206,675,1
52,-30,224,611,1
53,0,180,659,1
54,-30,210,559,1
55,0,179,738,1
56,-30,233,417,1
57,-15,212,310,1
58,30,404,593,1
59,-30,236,409,1
60,-30,213,621,1
61,15,204,511,1
62,-30,152,784,1
63,-45,241,488,1
64,-30,200,300,1
65,0,207,562,1
66,30,199,652,1
67,-30,149,547,1
68,45,197,553,1
69,-15,326,515,1
70,30,206,512,1
71,-30,202,549,1
72,-15,136,617,1
73,45,217,336,1
74,-45,144,749,1
75,0,213,370,1
76,-30,332,566,1
77,-30,211,316,1
78,0,191,489,1
79,45,185,652,1
80,15,252,346,1
81,15,235,377,1
82,30,195,465,1
83,-15,180,432,1
84,0,175,673,1
85,15,184,747,1
86,-30,194,567,1
87,0,177,750,1
88,30,210,580,1
89,0,261,600,1
90,15,196,647,1
91,-30,209,731,1
92,-15,219,465,1
93,15,230,553,1
94,45,351,793,1
95,0,414,327,1
96,15,191,458,1
97,-15,184,557,1
98,30,221,554,1
99,30,201,779,1
100,-15,248,665,1
101,-15,251,464,1
102,30,173,772,1
103,45,421,415,1
104,45,224,432,1
105,0,226,526,1
106,-45,231,568,1
107,0,229,495,1
108,0,190,579,1
109,0,182,486,1
110,30,231,774,1
111,-30,214,545,1
112,45,194,731,1
113,-30,211,447,1
114,30,207,309,1
115,-30,203,389,1
116,15,188,437,1
117,0,0,672,1
118,45,186,681,1
119,0,195,584,1
120,45,225,452,1
121,-30,227,500,1
122,30,200,489,1
123,15,199,574,1
124,-30,245,571,1
125,-45,355,407,1
126,-30,251,519,1
127,-15,207,770,1
128,30,467,714,1
129,45,282,437,1
130,30,176,756,1
131,45,191,637,1
132,45,244,346,1
133,30,195,443,1
134,-45,223,510,1
135,-30,213,603,1
136,-15,371,425,1
137,15,183,507,1
138,-45,163,759,1
139,45,163,696,1
140,45,158,687,1
141,-45,196,379,1
142,-30,193,388,1
143,0,186,466,1
144,0,128,799,1
145,-45,256,303,1
146,15,178,710,1
147,-15,203,375,1
148,15,176,474,1
149,30,129,668,1
150,30,205,686,1
151,-30,170,696,1
152,30,210,424,1
153,0,214,609,1
154,45,241,521,1
155,-30,188,339,1
156,-45,189,485,1
157,15,209,372,1
158,45,238,367,1
159,0,178,409,1
160,45,210,352,1
161,-15,168,556,1
162,30,305,346,1
163,30,0,692,1
164,-30,186,721,1
165,0,189,736,1
166,45,201,603,1
167,15,204,503,1
168,15,195,456,1
169,0,194,779,1
170,-30,219,347,1
171,0,177,744,1
172,-15,201,714,1
173,-30,307,585,1
174,-30,204,327,1
175,0,184,704,1
176,15,215,537,1
177,-45,236,476,1
178,-45,219,347,1
179,0,192,609,1
180,-15,272,361,1
181,-30,207,685,1
182,-15,345,748,1
183,-15,210,383,1
184,-30,239,616,1
185,-45,195,680,1
186,0,404,794,1
187,45,253,518,1
188,-15,218,458,1
189,30,181,614,1
190,30,228,410,1
191,0,209,559,1
192,-15,191,504,1
193,-15,195,734,1
194,-15,190,763,1
195,-30,197,616,1
196,-45,210,411,1
197,-15,187,447,1
198,45,216,508,1
199,15,201,327,1
200,-15,182,664,1
201,30,198,568,1
202,45,211,703,1
