trial, dist, RT, interstim, NumberofLED
1, -45, 188, 460, 1
2, 45, 0, 762, 1
3, 15, 192, 521, 1
4, -45, 197, 535, 1
5, 45, 160, 455, 1
6, -30, 248, 393, 1
7, -15, 49, 685, 1
8, 0, 228, 300, 1
9, -15, 191, 413, 1
10, 0, 106, 484, 1
11, 15, 169, 445, 1
12, 0, 0, 614, 1
13, -15, 79, 540, 1
14, 0, 167, 494, 1
15, -30, 193, 362, 1
16, 45, 193, 431, 1
17, -45, 209, 379, 1
18, -30, 189, 333, 1
19, 45, 0, 648, 1
20, 0, 0, 653, 1
21, 30, 163, 739, 1
22, 45, 169, 633, 1
23, -30, 139, 713, 1
24, 45, 190, 724, 1
25, -30, 183, 665, 1
26, -45, 81, 748, 1
27, 30, 211, 317, 1
28, -30, 198, 611, 1
29, 30, 220, 397, 1
30, 30, 190, 395, 1
31, 30, 178, 304, 1
32, 0, 80, 795, 1
33, 45, 192, 448, 1
34, -15, 199, 441, 1
35, -15, 160, 757, 1
36, 30, 173, 441, 1
37, 30, 0, 679, 1
38, 45, 189, 332, 1
39, -30, 448, 761, 1
40, 45, 235, 660, 1
41, -15, 189, 602, 1
42, -30, 150, 761, 1
43, -15, 225, 408, 1
44, -15, 181, 720, 1
45, 0, 183, 581, 1
46, -15, 178, 671, 1
47, 30, 188, 499, 1
48, -30, 143, 719, 1
49, -30, 211, 549, 1
50, 45, 205, 362, 1
51, 45, 133, 788, 1
52, 15, 191, 495, 1
53, 0, 229, 564, 1
54, -15, 216, 345, 1
55, 15, 135, 631, 1
56, -30, 182, 746, 1
57, -30, 185, 460, 1
58, -30, 175, 628, 1
59, -30, 228, 551, 1
60, -45, 175, 723, 1
61, -15, 199, 696, 1
62, -45, 184, 582, 1
63, 15, 222, 354, 1
64, 30, 215, 331, 1
65, 45, 199, 584, 1
66, -45, 198, 495, 1
67, 45, 201, 418, 1
68, 30, 184, 798, 1
69, 30, 135, 779, 1
70, -30, 221, 675, 1
71, -15, 209, 747, 1
72, 45, 301, 381, 1
73, 45, 181, 652, 1
74, 15, 0, 771, 1
75, 30, 199, 528, 1
76, -30, 215, 425, 1
77, -15, 196, 555, 1
78, 45, 366, 414, 1
79, -30, 204, 563, 1
80, -15, 198, 657, 1
81, -15, 195, 602, 1
82, 45, 170, 598, 1
83, -45, 199, 467, 1
84, -15, 200, 682, 1
85, -30, 191, 769, 1
86, -15, 181, 694, 1
87, -15, 383, 761, 1
88, 15, 8, 642, 1
89, -15, 203, 690, 1
90, -15, 0, 693, 1
