trial, dist, RT, interstim, NumberofLED
1,0,0,634,1
2,45,205,779,1
3,-15,185,541,1
4,30,183,501,1
5,45,193,303,1
6,30,198,318,1
7,30,189,361,1
8,-30,83,779,1
9,-15,170,690,1
10,15,225,342,1
11,30,195,374,1
12,0,201,567,1
13,-30,419,674,1
14,30,198,406,1
15,-15,203,415,1
16,0,193,639,1
17,-15,235,553,1
18,0,200,646,1
19,-30,257,661,1
20,-45,349,494,1
21,30,181,565,1
22,-45,143,779,1
23,-30,184,740,1
24,-45,219,348,1
25,30,195,354,1
26,-45,169,410,1
27,-15,166,553,1
28,-45,193,349,1
29,15,157,707,1
30,-30,195,703,1
31,45,210,427,1
32,-45,198,445,1
33,15,199,662,1
34,15,205,751,1
35,-15,211,798,1
36,-30,433,388,1
37,-30,229,466,1
38,0,400,307,1
39,0,308,334,1
40,45,167,732,1
41,-45,195,746,1
42,-15,208,419,1
43,-15,181,355,1
44,15,181,782,1
45,-30,201,541,1
46,-30,142,789,1
47,-15,236,465,1
48,0,280,395,1
49,-30,188,654,1
50,0,200,778,1
51,15,282,406,1
52,-45,217,654,1
53,-30,189,792,1
54,30,249,475,1
55,30,203,593,1
56,45,217,576,1
57,-45,208,653,1
58,-45,298,705,1
59,-45,200,524,1
60,0,175,644,1
61,-15,185,503,1
62,-45,195,608,1
63,-30,221,441,1
64,-45,203,481,1
65,-30,163,651,1
66,-15,179,697,1
67,15,196,304,1
68,45,224,462,1
69,-45,199,733,1
70,-15,201,707,1
71,-15,229,684,1
72,30,199,781,1
73,0,480,353,1
74,15,228,374,1
75,30,222,532,1
76,-45,196,543,1
77,15,193,648,1
78,-30,204,603,1
79,30,241,534,1
80,-15,212,448,1
81,-45,194,631,1
82,-45,224,388,1
83,-45,227,345,1
84,-45,220,474,1
85,-45,221,617,1
86,-45,215,314,1
87,45,232,304,1
88,45,201,696,1
89,15,180,754,1
90,30,391,514,1
91,15,178,721,1
92,0,274,344,1
93,-15,200,550,1
94,-15,188,490,1
95,-30,267,312,1
96,-45,218,756,1
97,0,357,717,1
98,45,226,314,1
99,0,227,585,1
100,-30,343,493,1
101,0,229,599,1
102,-15,174,468,1
103,-45,215,452,1
104,30,208,738,1
105,-15,180,649,1
106,15,152,564,1
107,-15,188,508,1
108,-15,181,515,1
109,-30,228,326,1
110,45,180,477,1
111,15,362,425,1
112,30,230,466,1
113,45,175,685,1
114,30,197,615,1
115,-45,198,671,1
116,30,202,664,1
117,30,204,714,1
118,15,205,633,1
119,-30,203,463,1
120,-15,233,344,1
121,-30,188,605,1
122,-45,234,707,1
123,-45,226,333,1
124,-15,197,603,1
125,15,206,457,1
126,-15,211,436,1
127,0,279,445,1
128,15,359,699,1
129,45,201,587,1
130,-15,168,794,1
131,45,235,479,1
132,0,215,318,1
133,-30,196,750,1
134,15,197,435,1
135,-15,182,650,1
136,-15,213,435,1
137,15,230,328,1
138,30,217,493,1
139,0,338,605,1
140,-15,274,324,1
141,15,196,647,1
142,15,179,722,1
143,-45,230,672,1
144,-30,239,584,1
145,-45,225,688,1
146,15,244,388,1
147,30,201,562,1
148,-15,197,419,1
149,-45,132,644,1
150,45,0,748,1
151,30,213,420,1
152,15,193,586,1
153,-45,209,670,1
154,0,224,612,1
155,45,263,756,1
156,30,243,398,1
157,-15,375,777,1
158,30,247,610,1
159,15,155,758,1
160,-15,187,527,1
161,45,210,339,1
162,0,175,559,1
163,15,148,635,1
164,-30,203,435,1
165,-30,232,370,1
166,45,196,502,1
167,-45,222,703,1
168,-15,186,755,1
169,-30,226,389,1
170,45,238,359,1
171,0,224,417,1
172,30,197,458,1
173,0,192,450,1
174,45,274,346,1
175,30,183,672,1
176,-30,217,433,1
177,-45,194,332,1
178,0,310,375,1
179,-15,158,707,1
180,-15,194,713,1
181,-30,235,489,1
182,-30,280,388,1
183,-45,214,569,1
184,45,220,758,1
185,-15,254,399,1
186,0,405,443,1
187,-30,233,513,1
188,45,240,478,1
189,45,224,560,1
190,-45,217,729,1
191,-30,198,752,1
192,30,197,544,1
193,15,335,779,1
194,15,194,501,1
195,30,239,458,1
196,15,194,463,1
197,-30,189,755,1
198,30,329,630,1
199,-45,218,523,1
200,-30,248,570,1
201,-15,262,374,1
202,-45,180,760,1
