trial, dist, RT, interstim, NumberofLED
1, -45, 0, 732, 1
2, 30, 254, 424, 1
3, -15, 400, 345, 1
4, 30, 194, 787, 1
5, 15, 208, 428, 1
6, 0, 164, 675, 1
7, 15, 230, 472, 1
8, -30, 205, 418, 1
9, 45, 186, 614, 1
10, 30, 234, 313, 1
11, -15, 219, 498, 1
12, -15, 228, 693, 1
13, -30, 240, 565, 1
14, -30, 235, 357, 1
15, 15, 186, 731, 1
16, -45, 194, 451, 1
17, -45, 222, 750, 1
18, -15, 252, 515, 1
19, -15, 218, 623, 1
20, 15, 283, 457, 1
21, -45, 218, 792, 1
22, 45, 221, 331, 1
23, -30, 222, 452, 1
24, -30, 188, 639, 1
25, -15, 110, 772, 1
26, 15, 222, 786, 1
27, -15, 244, 558, 1
28, -15, 212, 735, 1
29, 0, 261, 770, 1
30, 15, 219, 720, 1
31, -15, 239, 699, 1
32, 45, 190, 708, 1
33, 0, 227, 378, 1
34, 30, 231, 512, 1
35, 15, 216, 567, 1
36, 45, 202, 450, 1
37, 15, 214, 444, 1
38, 0, 253, 349, 1
39, -30, 225, 662, 1
40, -30, 253, 711, 1
41, -30, 212, 562, 1
42, -45, 248, 523, 1
43, 45, 199, 544, 1
44, -45, 213, 519, 1
45, -30, 242, 400, 1
46, -45, 197, 681, 1
47, -30, 187, 756, 1
48, 45, 230, 483, 1
49, 45, 193, 673, 1
50, -30, 222, 440, 1
51, 0, 172, 694, 1
52, -45, 205, 719, 1
53, 0, 217, 555, 1
54, -45, 262, 429, 1
55, 15, 203, 526, 1
56, 45, 213, 311, 1
57, 30, 189, 584, 1
58, -45, 201, 493, 1
59, 15, 222, 322, 1
60, 15, 245, 734, 1
61, -45, 212, 303, 1
62, 30, 212, 514, 1
63, 0, 256, 311, 1
64, 0, 223, 739, 1
65, -45, 171, 585, 1
66, 0, 200, 653, 1
67, -30, 198, 349, 1
68, 30, 180, 412, 1
69, -15, 214, 452, 1
70, 45, 183, 337, 1
71, -30, 223, 476, 1
72, 0, 223, 482, 1
73, -45, 211, 361, 1
74, 45, 206, 771, 1
75, 0, 248, 342, 1
76, 45, 221, 463, 1
77, 45, 213, 331, 1
78, 15, 362, 762, 1
79, -30, 220, 337, 1
80, 45, 221, 391, 1
81, -15, 201, 323, 1
82, 45, 209, 515, 1
83, 15, 224, 351, 1
84, 30, 198, 799, 1
85, 0, 208, 478, 1
86, -30, 224, 445, 1
87, 15, 224, 637, 1
88, 0, 236, 483, 1
89, 45, 246, 415, 1
90, -30, 216, 300, 1
91, -30, 228, 366, 1
92, 0, 212, 709, 1
93, -15, 217, 524, 1
94, 15, 227, 618, 1
95, -30, 235, 520, 1
96, -45, 220, 780, 1
97, 15, 212, 353, 1
98, -30, 249, 631, 1
99, -15, 209, 583, 1
100, 0, 276, 386, 1
101, 30, 221, 361, 1
102, 30, 207, 430, 1
103, -45, 232, 425, 1
104, 45, 212, 480, 1
105, -30, 280, 656, 1
106, -30, 237, 508, 1
107, -30, 210, 674, 1
108, -30, 208, 689, 1
109, 0, 307, 670, 1
110, -15, 238, 385, 1
111, -45, 229, 505, 1
112, -15, 235, 408, 1
113, -45, 253, 369, 1
114, -30, 232, 407, 1
115, 30, 179, 509, 1
116, 45, 272, 603, 1
117, -15, 216, 320, 1
118, -30, 168, 708, 1
119, -30, 225, 514, 1
120, 45, 266, 797, 1
121, -15, 191, 771, 1
122, -30, 197, 641, 1
123, -45, 261, 472, 1
124, 0, 256, 629, 1
125, 15, 240, 419, 1
126, 15, 197, 429, 1
127, -15, 209, 578, 1
128, 15, 184, 661, 1
129, 45, 231, 592, 1
130, -45, 227, 718, 1
131, 30, 209, 490, 1
132, -45, 183, 682, 1
133, 30, 222, 405, 1
134, 15, 230, 717, 1
135, 15, 236, 615, 1
136, -45, 227, 369, 1
137, -45, 209, 561, 1
138, 0, 200, 663, 1
139, 45, 151, 742, 1
140, 15, 242, 476, 1
141, -15, 236, 751, 1
142, -45, 247, 531, 1
143, -30, 241, 419, 1
144, 30, 225, 529, 1
145, 30, 178, 793, 1
146, 45, 264, 324, 1
147, 15, 211, 393, 1
148, 45, 235, 489, 1
149, -15, 230, 397, 1
150, -30, 240, 330, 1
151, -45, 210, 724, 1
152, -45, 221, 642, 1
153, 0, 248, 458, 1
154, 45, 371, 779, 1
155, 15, 228, 583, 1
156, 15, 167, 709, 1
157, 15, 194, 643, 1
158, -15, 265, 557, 1
159, 45, 146, 665, 1
160, 30, 236, 622, 1
161, -15, 223, 402, 1
162, -15, 218, 694, 1
163, 30, 238, 619, 1
164, 0, 234, 677, 1
165, 30, 219, 476, 1
166, -15, 213, 381, 1
167, 0, 227, 731, 1
168, 30, 206, 483, 1
169, 45, 215, 513, 1
170, 30, 0, 400, 1
171, 45, 231, 446, 1
172, -45, 231, 649, 1
173, -15, 240, 363, 1
174, -45, 237, 312, 1
175, 0, 233, 362, 1
176, -15, 227, 491, 1
