trial,dist,RT,interstim,NumberofLED
1,45,333,616,1
2,-15,177,623,1
3,0,270,538,1
4,15,197,760,1
5,-45,225,361,1
6,30,259,338,1
7,15,223,731,1
8,30,254,527,1
9,0,225,516,1
10,-45,228,571,1
11,-30,9,368,1
12,0,185,715,1
13,-45,296,776,1
14,-30,199,782,1
15,15,237,340,1
16,45,155,715,1
17,-30,200,421,1
18,0,130,713,1
19,15,201,559,1
20,-45,224,562,1
21,45,263,309,1
22,-45,247,727,1
23,30,270,613,1
24,-30,190,459,1
25,30,227,335,1
26,0,233,310,1
27,-45,175,663,1
28,-45,220,705,1
29,-15,221,415,1
30,15,197,414,1
31,0,197,433,1
32,0,175,466,1
33,-45,154,661,1
34,-30,208,378,1
35,30,166,768,1
36,-45,213,638,1
37,15,307,552,1
38,15,202,373,1
39,30,195,492,1
40,30,198,371,1
41,45,197,712,1
42,15,187,510,1
43,-45,165,765,1
44,45,197,618,1
45,-15,202,585,1
46,-45,231,665,1
47,15,202,706,1
48,-45,258,326,1
49,-15,207,495,1
50,-45,219,727,1
51,-45,235,414,1
52,-45,130,713,1
53,-45,231,365,1
54,-30,264,311,1
55,-15,157,761,1
56,-45,0,492,1
57,-30,0,494,1
58,15,0,568,1
59,30,474,674,1
60,-45,223,337,1
61,45,187,690,1
62,-15,889,594,1
63,45,315,691,1
64,-45,0,520,1
65,-45,285,556,1
66,-30,244,317,1
67,-45,160,694,1
68,-45,167,486,1
69,15,175,491,1
70,-30,260,507,1
71,-30,187,357,1
72,0,268,448,1
73,30,0,774,1
74,30,190,477,1
75,0,146,638,1
76,-15,276,546,1
77,-30,200,369,1
78,45,255,782,1
79,0,128,547,1
80,30,186,721,1
81,-15,269,430,1
82,-45,176,457,1
83,-30,168,599,1
84,30,151,728,1
85,45,261,685,1
86,-30,450,771,1
87,-30,186,728,1
88,45,183,612,1
89,30,180,468,1
90,45,289,392,1
91,-45,194,788,1
92,0,312,471,1
93,30,258,311,1
94,0,229,361,1
95,0,214,481,1
96,45,197,428,1
97,30,245,693,1
98,-15,181,580,1
99,30,222,325,1
100,-15,160,513,1
101,30,234,331,1
102,45,194,485,1
103,45,81,690,1
104,15,265,645,1
105,45,220,426,1
106,45,147,687,1
107,0,168,572,1
108,-15,180,619,1
109,-45,242,458,1
110,-45,159,747,1
111,-30,102,710,1
112,15,208,606,1
113,30,224,760,1
114,0,232,355,1
115,-45,217,590,1
116,15,208,677,1
117,-45,219,448,1
118,30,200,598,1
119,30,210,345,1
120,-30,181,731,1
121,-45,279,656,1
122,0,232,573,1
123,0,236,726,1
124,-15,199,747,1
125,-15,242,318,1
126,-15,185,724,1
127,-15,150,664,1
128,-30,159,731,1
129,30,201,699,1
130,0,217,778,1
131,30,243,750,1
132,15,315,747,1
133,-45,216,736,1
134,0,158,477,1
135,-30,200,625,1
136,45,115,760,1
137,-45,203,722,1
138,-45,222,798,1
139,-45,191,619,1
140,-45,257,382,1
141,15,259,344,1
142,45,270,357,1
143,45,124,691,1
144,45,193,457,1
145,-45,162,724,1
146,-30,188,512,1
147,45,286,412,1
148,-45,190,484,1
149,0,188,705,1
150,15,288,583,1
151,-45,186,508,1
152,-15,306,329,1
153,-15,289,455,1
154,45,250,647,1
155,-15,198,387,1
156,0,156,436,1
157,-30,173,600,1
158,-15,288,494,1
159,-45,164,596,1
160,30,195,579,1
161,30,294,612,1
162,-15,194,419,1
163,30,323,423,1
164,0,259,355,1
165,45,184,591,1
166,15,196,397,1
167,-45,272,646,1
168,-30,188,301,1
169,-15,229,318,1
170,45,281,441,1
171,15,225,584,1
172,-15,161,559,1
173,30,289,689,1
174,-45,234,554,1
175,0,190,724,1
176,30,160,648,1
177,0,141,737,1
178,-45,2,711,1
179,0,320,338,1
180,-45,193,388,1
181,30,244,384,1
182,-15,0,459,1
183,-30,165,712,1
184,15,219,302,1
185,45,231,305,1
186,-45,179,436,1
187,-30,281,380,1
188,0,114,569,1
189,-45,154,587,1
190,-45,216,621,1
191,30,169,638,1
192,30,229,442,1
193,15,19,781,1
194,-45,173,605,1
195,30,172,651,1
196,-45,255,365,1
197,15,225,331,1
198,-15,211,357,1
199,-15,177,579,1
200,45,253,316,1
201,45,219,702,1
202,-30,242,374,1
203,0,265,461,1
204,0,169,511,1
205,-45,240,773,1
206,-45,261,648,1
