trial, dist, RT, interstim, NumberofLED
1, 0, 310, 635, 1
2, 0, 516, 595, 3
3, 30, 499, 327, 2
4, -45, 386, 379, 1
5, -30, 372, 668, 1
6, -45, 587, 557, 1
7, 30, 533, 715, 3
8, 45, 611, 379, 3
9, -30, 576, 326, 3
10, -45, 0, 582,3
11, 15, 0, 489,3
12, -15, 347, 642, 1
13, -30, 480, 663, 2
14, 45, 742, 696, 3
15, 0, 396, 541, 2
16, -45, 706, 762, 3
17, 15, 0, 700,3
18, -15, 344, 394, 1
19, -45, 484, 525, 2
20, 15, 406, 319, 1
21, 45, 482, 408, 2
22, 45, 0, 557,2
23, 45, 363, 756, 2
24, -30, 453, 402, 2
25, -15, 675, 511, 3
26, 15, 344, 334, 2
27, 45, 450, 649, 2
28, -30, 398, 520, 2
29, -15, 406, 588, 3
30, 45, 366, 349, 2
31, -30, 494, 622, 3
32, -30, 0, 581,1
33, 30, 567, 378, 3
34, -15, 466, 424, 1
35, -15, 406, 503, 2
36, -30, 0, 333,3
37, 0, 313, 618, 2
38, 15, 485, 314, 1
39, 0, 427, 784, 3
40, 0, 343, 753, 3
41, 15, 435, 308, 3
42, -15, 0, 491,2
43, -45, 499, 352, 3
44, -45, 528, 594, 1
45, 15, 407, 690, 1
46, -45, 648, 726, 2
47, 45, 590, 716, 3
48, 30, 513, 613, 1
49, -15, 363, 774, 1
50, 30, 456, 779, 2
51, 0, 371, 471, 1
52, -30, 555, 735, 2
53, 15, 0, 348,2
54, 45, 394, 555, 1
55, -45, 450, 486, 2
56, -15, 343, 715, 1
57, -30, 0, 729,2
58, -30, 0, 744,2
59, 15, 396, 504, 1
60, -45, 0, 757,3
61, -45, 389, 498, 1
62, -15, 313, 676, 1
63, -45, 0, 755,2
64, 30, 393, 744, 1
65, -30, 386, 754, 1
66, 30, 855, 581, 3
67, -45, 519, 776, 1
68, 45, 696, 527, 2
69, -30, 665, 492, 3
70, -15, 421, 589, 2
71, 45, 0, 514,3
72, 30, 462, 485, 3
73, 15, 359, 412, 1
74, 15, 348, 396, 2
75, 30, 496, 786, 1
76, -15, 409, 489, 1
77, -45, 450, 720, 2
78, 0, 426, 680, 2
79, -45, 461, 321, 1
80, 30, 489, 415, 3
81, -45, 397, 721, 1
82, 30, 507, 308, 3
83, -45, 397, 692, 1
84, 45, 411, 752, 1
85, 30, 418, 529, 1
86, 0, 0, 302,2
87, 0, 320, 654, 2
