trial, dist, RT, interstim, NumberofLED
1,0,399,327,2
2,-30,383,621,1
3,-15,404,497,1
4,-45,598,439,3
5,-45,422,311,1
6,15,392,315,3
7,-15,365,668,1
8,-30,350,757,3
9,-45,416,630,1
10,30,403,711,1
11,0,313,424,2
12,0,478,300,3
13,-30,351,342,1
14,-45,434,585,3
15,0,303,522,2
16,45,395,394,1
17,-45,420,359,3
18,0,418,493,3
19,30,407,493,2
20,-15,433,445,3
21,45,503,343,3
22,-45,423,755,1
23,-30,401,763,3
24,-30,400,562,3
25,-45,411,366,3
26,-30,425,596,2
27,15,406,628,1
28,-45,392,755,1
29,-30,470,337,1
30,45,436,446,3
31,30,462,739,3
32,0,610,710,3
33,-45,360,593,1
34,-45,419,607,2
35,45,523,427,1
36,30,471,677,1
37,0,447,672,3
38,-30,408,723,2
39,30,370,699,2
40,30,376,333,2
41,0,379,633,3
42,-45,488,558,1
43,-30,400,389,1
44,-45,492,320,3
45,-45,389,459,3
46,-45,388,615,1
47,-30,404,441,3
48,-15,366,711,2
49,-45,444,685,3
50,30,368,599,3
51,30,354,581,3
52,15,533,335,3
53,-15,332,503,2
54,45,0,496,2
55,0,390,780,3
56,45,378,629,3
57,45,498,434,2
58,0,348,458,2
59,15,384,680,3
60,30,364,485,2
61,0,349,618,2
62,-45,417,716,1
63,30,372,445,2
64,45,396,708,3
65,30,507,563,1
66,-30,368,663,2
67,0,323,625,2
68,45,424,314,1
69,45,429,688,2
70,0,328,674,2
71,45,403,778,1
72,45,419,718,2
73,-45,0,545,1
74,0,442,749,3
75,-30,443,684,3
76,-45,645,604,2
77,30,641,739,3
78,-30,437,690,2
79,-45,451,426,3
80,-30,379,580,2
81,15,426,598,2
82,30,392,529,2
83,45,567,316,2
84,45,375,643,2
85,45,497,456,1
86,-45,350,465,1
87,30,367,773,3
88,15,493,421,3
89,45,0,325,1
90,0,402,754,2
91,30,676,551,3
92,30,463,588,3
93,15,492,402,3
94,30,366,340,3
95,30,397,758,1
96,-15,0,522,1
97,0,459,339,1
98,15,392,685,2
99,-15,422,638,3
100,-30,383,318,1
101,-45,416,693,1
102,-30,440,602,2
103,-30,436,582,2
104,30,530,340,2
105,-30,438,592,1
106,15,420,798,1
107,15,396,777,2
108,-15,477,425,1
109,-30,410,606,1
110,-45,406,780,2
111,-30,399,336,3
112,15,340,662,3
113,0,444,578,1
114,0,413,668,1
115,-45,428,363,1
116,-45,416,573,2
117,30,415,679,1
118,0,373,666,2
119,30,557,756,2
120,45,417,759,2
121,-30,402,689,3
122,45,348,711,1
123,-30,411,733,2
124,30,397,300,1
125,0,446,356,3
126,30,366,624,2
127,45,441,768,3
128,-45,398,743,1
129,45,367,784,3
130,-30,368,591,1
131,30,392,593,2
132,30,390,642,1
133,30,436,470,3
134,45,402,361,3
135,30,497,548,2
136,-30,475,556,3
137,-45,367,788,1
138,45,426,522,2
139,-15,361,359,2
140,-30,544,350,3
141,-45,383,403,1
142,-30,396,598,2
143,15,313,721,3
144,-15,346,581,2
145,-45,391,483,2
146,15,349,614,3
147,-15,369,742,1
148,0,376,783,1
149,0,609,636,3
150,-45,479,553,2
151,15,343,730,3
152,-30,470,640,3
153,-30,397,357,1
154,-15,343,407,2
155,-30,458,346,3
156,15,349,771,1
157,-30,420,363,1
158,-45,550,593,2
159,15,347,443,3
160,30,485,301,2
161,30,361,747,2
162,0,355,630,2
163,-30,354,616,3
164,30,489,722,3
165,-15,549,797,3
166,-30,385,635,3
167,45,576,505,2
168,-30,391,639,1
169,-45,378,661,1
170,15,439,314,1
171,0,413,759,1
172,45,368,608,3
173,15,430,503,3
174,45,457,519,3
175,-30,437,377,2
176,0,380,565,1
177,30,366,382,2
178,-45,351,551,2
179,45,458,573,1
180,30,340,497,3
181,-30,396,355,1
182,-45,458,366,1
183,-15,546,680,3
184,0,458,521,3
185,0,393,423,1
186,45,400,424,3
187,30,0,629,2
188,-30,402,720,1
189,45,497,542,3
190,-15,488,404,2
191,-15,481,434,3
192,45,426,626,1
193,30,486,745,3
194,-15,0,747,2
195,15,692,523,2
196,0,445,598,3
197,-45,672,338,1
198,-30,431,455,1
199,45,462,755,1
200,-30,586,470,3
201,-30,426,427,3
202,30,356,328,1
203,0,441,703,1
204,15,430,502,1
205,0,374,584,1
206,-15,475,759,3
