trial,dist,RT,interstim,NumberofLED
1,0,342,656,2
2,-15,449,445,3
3,45,69,607,3
4,-45,629,692,3
5,0,328,520,1
6,45,430,608,2
7,45,20,586,3
8,-30,416,816,2
9,45,724,610,1
10,30,436,364,2
11,-30,479,737,1
12,15,447,471,1
13,-15,371,700,3
14,-45,98,580,1
15,-45,109,396,3
16,0,430,427,1
17,30,478,516,1
18,-30,335,414,2
19,-45,545,539,3
20,-15,432,589,2
21,15,507,447,2
22,45,598,492,2
23,30,20,325,3
24,30,65,357,2
25,-45,626,532,3
26,-45,154,579,1
27,45,508,645,1
28,-30,411,298,3
29,45,500,573,2
30,-15,462,841,3
31,30,20,423,1
32,-15,421,542,2
33,15,361,673,1
34,0,389,328,3
35,-15,350,744,2
36,0,20,625,2
37,-15,439,686,3
38,-15,317,489,1
39,-30,409,560,1
40,-15,430,536,2
41,-15,20,489,3
42,15,342,753,3
43,15,409,614,3
44,-45,550,551,3
45,30,463,399,1
46,0,20,613,3
47,30,390,679,2
48,-45,548,516,3
49,30,428,559,1
50,-30,495,757,2
51,30,412,342,1
52,-30,72,699,2
53,-15,452,799,3
54,-45,660,527,1
55,-15,400,742,2
56,30,396,579,1
57,15,20,373,3
58,-45,585,455,1
59,0,403,655,2
60,-45,449,431,1
61,-45,422,654,1
62,0,20,834,2
63,15,508,751,3
64,-45,653,704,1
65,0,464,444,1
66,0,361,460,1
67,45,462,671,3
68,45,458,559,3
69,30,381,731,2
70,0,501,477,2
71,0,265,270,3
72,-30,483,427,3
73,-45,546,366,2
74,-15,440,596,3
75,15,26,536,3
76,15,504,378,2
77,0,391,346,2
78,30,298,392,1
79,15,399,305,2
80,-30,385,659,3
81,15,285,523,2
82,45,422,662,3
83,30,416,273,3
84,15,337,448,3
85,15,396,471,3
86,30,332,843,3
87,-15,20,629,3
88,30,468,804,2
89,-45,558,699,1
90,0,420,601,3
91,15,277,439,2
92,0,332,602,2
93,15,20,665,1
94,-45,491,386,1
95,30,20,462,2
96,15,439,602,3
97,30,444,531,2
98,45,20,784,2
99,30,585,566,1
100,45,20,564,3
101,30,419,616,1
102,-15,440,767,1
103,0,454,278,2
104,-45,45,474,2
105,-30,355,303,1
106,-15,469,594,3
107,-30,53,761,3
108,0,348,389,1
109,30,362,425,2
110,30,427,592,3
111,30,494,671,2
112,30,20,573,2
113,-30,449,613,2
114,0,317,792,3
115,-45,70,510,3
116,-45,623,490,1
117,-30,77,309,2
118,-30,545,776,2
119,-45,671,553,3
120,15,344,543,3
121,-30,333,815,3
122,-15,461,748,2
123,-15,405,589,1
124,-15,446,716,2
125,-15,495,731,3
126,0,20,530,2
127,45,61,633,2
128,15,416,630,1
129,45,451,564,2
130,-30,20,302,2
131,45,388,567,3
132,-15,301,744,3
133,0,327,557,1
134,45,441,731,1
135,0,418,720,3
136,45,345,343,1
137,30,470,365,2
138,-45,173,740,3
139,0,468,423,1
140,45,20,341,3
141,0,390,368,1
142,-30,393,526,1
143,15,421,758,2
144,15,286,376,3
145,45,79,444,2
146,0,376,591,2
147,30,441,341,2
148,30,567,390,3
149,-30,363,562,2
150,0,411,462,2
151,-15,35,602,1
152,45,408,465,3
153,-15,391,808,2
154,15,306,701,2
155,-45,614,627,2
156,-30,469,741,1
157,0,280,702,1
158,15,399,399,3
159,30,333,507,3
160,0,89,408,3
161,-30,20,389,1
162,30,483,440,2
163,-30,543,681,3
164,15,291,627,2
165,15,397,630,1
166,0,380,771,1
167,30,418,537,2
168,30,350,433,1
169,15,325,284,1
170,15,418,425,2
171,0,465,404,3
172,-15,431,392,1
173,-45,654,519,2
174,-15,404,500,3
175,-45,178,534,3
176,0,947,412,1
177,-15,447,510,3
178,15,489,707,2
179,45,276,704,3
180,45,496,529,3
181,-45,551,359,1
182,0,376,473,1
183,-30,277,795,3
184,30,419,396,2
185,45,521,514,1
186,-45,554,488,1
187,-15,274,763,1
188,-45,645,696,3
189,30,20,608,1
190,0,339,738,2
191,-30,555,390,3
192,-30,368,356,3
193,-30,421,707,3
194,0,403,461,3
195,-30,405,447,3
196,-15,356,829,1
197,-15,418,521,3
198,0,516,644,3
199,30,483,749,1
200,-15,458,398,1
201,45,610,563,1
202,-30,428,625,3
203,-45,503,561,1
204,-30,299,420,2
205,0,346,718,2
206,-45,127,520,3
207,45,445,500,2
208,-15,385,512,1
209,30,526,577,1
210,-30,445,295,1
211,30,452,330,3
212,45,392,490,1
213,-15,357,425,2
214,-30,536,436,2
215,-30,271,461,2
216,-30,431,367,2
217,15,332,746,2
218,45,418,321,2
219,15,449,836,2
