trial, dist, RT, interstim, NumberofLED
1, 0, 564, 328, 3
2, 15, 387, 437, 1
3, 15, 338, 783, 1
4, -15, 406, 317, 3
5, 0, 327, 323, 1
6, 30, 0, 701,3
7, -15, 309, 522, 1
8, 45, 460, 357, 2
9, 45, 0, 413,3
10, -45, 398, 304, 2
11, -15, 342, 539, 1
12, -15, 526, 375, 1
13, -30, 499, 331, 3
14, -30, 494, 375, 2
15, 15, 0, 795,3
16, 0, 0, 517,3
17, -15, 0, 506,2
18, -15, 508, 741, 3
19, 15, 0, 357,3
20, 45, 479, 770, 3
21, -45, 508, 333, 3
22, 45, 420, 680, 2
23, 45, 0, 779,3
24, -30, 412, 469, 1
25, 15, 858, 523, 3
26, 30, 0, 667,2
27, -30, 595, 371, 3
28, -30, 532, 426, 1
29, 45, 627, 718, 1
30, 15, 465, 445, 3
31, -30, 474, 434, 2
32, 15, 544, 699, 3
33, -30, 379, 662, 2
34, 15, 405, 427, 1
35, 45, 0, 632,3
36, 15, 526, 622, 3
37, 15, 392, 471, 1
38, -30, 477, 730, 2
39, 30, 510, 796, 2
40, -15, 570, 501, 1
41, -30, 409, 548, 3
42, -45, 545, 483, 3
43, -45, 539, 386, 2
44, 0, 356, 632, 1
45, 0, 0, 608,1
46, -45, 361, 552, 1
47, 30, 366, 545, 1
48, 30, 0, 429,2
49, -30, 434, 305, 2
50, -30, 354, 600, 1
51, 15, 374, 499, 2
52, 45, 0, 416,3
53, 30, 347, 559, 1
54, -45, 403, 576, 2
55, 30, 354, 673, 2
56, -30, 398, 768, 2
57, -30, 0, 510,3
58, 15, 363, 497, 2
59, -30, 378, 660, 2
60, 0, 509, 598, 1
61, -15, 0, 613,3
62, -30, 0, 784,2
63, 30, 438, 406, 1
64, 15, 352, 471, 2
65, 30, 371, 666, 2
66, 15, 378, 694, 2
67, 45, 389, 597, 2
68, 45, 390, 379, 1
69, -30, 442, 447, 2
70, 0, 423, 703, 1
71, 15, 393, 608, 2
72, 45, 0, 422,3
73, -30, 559, 751, 1
74, 0, 379, 771, 3
75, -30, 401, 791, 1
76, -15, 381, 697, 2
77, -30, 533, 664, 2
78, 0, 338, 767, 1
79, -15, 0, 713,3
80, 15, 387, 400, 2
81, 15, 422, 688, 2
82, 0, 436, 449, 2
83, 45, 761, 663, 2
84, 30, 556, 421, 2
85, 15, 339, 368, 2
86, 0, 358, 600, 1
87, -15, 490, 770, 1
88, -45, 389, 302, 1
89, -15, 317, 340, 1
90, 45, 0, 698,3
91, 0, 340, 420, 1
92, 30, 0, 348,1
93, -30, 0, 581,3
94, 30, 0, 789,1
95, -30, 591, 797, 3
96, 0, 563, 567, 3
97, 45, 663, 438, 3
98, -30, 409, 655, 2
99, 45, 419, 570, 1
100, 15, 396, 756, 1
101, 30, 599, 405, 3
102, 15, 394, 679, 3
103, 30, 0, 403, 3
104, 30, 527, 683, 2
105, 45, 414, 547, 1
106, 15, 345, 516, 1
107, 30, 0, 700,3
108, -30, 373, 620, 1
109, -15, 319, 742, 1
110, -30, 347, 549, 2
111, 15, 439, 468, 2
112, -15, 315, 656, 1
113, 30, 358, 452, 1
114, 0, 458, 394, 3
115, 30, 709, 691, 3
116, -45, 0, 445,2
117, 0, 324, 477, 1
118, 15, 387, 607, 1
119, 15, 329, 310, 1
120, 30, 538, 354, 2
121, -30, 319, 507, 1
122, -45, 500, 499, 3
123, -30, 493, 359, 1
124, 15, 522, 732, 3
125, 15, 316, 482, 1
126, 45, 0, 341,3
127, -15, 464, 651, 3
128, 15, 328, 605, 2
129, 45, 431, 457, 1
130, 0, 313, 608, 2
131, 30, 0, 680,3
132, 15, 558, 610, 1
133, 15, 351, 451, 1
134, -30, 0, 407,2
135, 30, 509, 794, 3
136, 30, 463, 305, 3
137, 30, 497, 741, 2
138, -15, 398, 557, 1
139, 15, 437, 601, 3
140, 30, 353, 776, 2
141, -15, 610, 436, 3
142, -30, 463, 414, 2
143, 45, 604, 487, 3
144, -45, 824, 761, 3
145, 45, 434, 739, 3
146, 0, 0, 496,2
147, 30, 455, 736, 1
148, -30, 378, 326, 2
149, 45, 383, 474, 1
150, 45, 394, 408, 1
151, 15, 346, 545, 1
152, 15, 0, 777,3
153, 0, 0, 369,3
154, 15, 416, 371, 2
155, 0, 365, 534, 1
156, 15, 0, 354,3
157, 30, 428, 647, 2
158, -15, 0, 328,3
159, -30, 0, 486,2
160, -15, 491, 773, 2
161, -15, 362, 653, 1
162, -15, 427, 412, 1
163, 30, 415, 445, 2
164, 0, 324, 670, 1
165, -45, 404, 343, 1
166, -15, 354, 510, 1
167, 45, 318, 423, 1
168, 45, 0, 614,2
169, -30, 434, 751, 2
170, 0, 0, 572, 3
171, -45, 520, 782, 2
172, -15, 346, 450, 1
173, 0, 410, 643, 1
174, -15, 527, 321, 3
175, -30, 341, 651, 1
176, 0, 357, 442, 2
177, -15, 495, 528, 2
178, 0, 0, 553,2
179, 0, 0, 641, 2
180, -15, 615, 714, 3
181, -45, 496, 601, 1
182, -15, 352, 320, 1
183, -45, 460, 508, 1
184, 30, 551, 454, 1
185, -30, 508, 525, 3
186, 15, 454, 402, 2
187, -45, 467, 622, 1
188, -30, 440, 542, 2
189, 15, 0, 398,3
190, -45, 486, 789, 1
191, -15, 469, 366, 3
192, 30, 488, 534, 3
193, -30, 311, 718, 1
194, -30, 295, 769, 1
195, -45, 477, 403, 3
196, 15, 433, 322, 3
197, 45, 0, 513,2
198, 30, 549, 420, 3
199, -15, 595, 509, 3
200, 0, 340, 537, 3
201, 0, 332, 742, 3
202, -45, 452, 793, 1
203, -45, 430, 691, 1
204, 45, 0, 411,2
205, -30, 931, 747, 3
206, -15, 385, 624, 2
207, -45, 0, 300,3
208, -45, 556, 566, 2
209, 0, 312, 571, 2
210, -30, 544, 415, 3
211, 0, 322, 577, 2
212, 45, 514, 575, 1
213, -45, 417, 555, 3
214, 30, 414, 431, 3
215, 30, 0, 393,1
216, -15, 366, 429, 2
217, 45, 360, 508, 1
218, -45, 0, 746,2
219, 30, 612, 628, 3
220, -30, 366, 393, 1
221, -30, 327, 736, 1
222, 30, 460, 310, 3
223, -30, 0, 631,3
224, -15, 361, 428, 2
225, 0, 464, 425, 3
226, 0, 415, 722, 1
227, 30, 411, 720, 1
228, 0, 399, 397, 3
229, 15, 333, 576, 1
230, -30, 316, 463, 1
231, 15, 365, 770, 2
232, -15, 298, 744, 1
233, 45, 356, 574, 3
234, 30, 0, 305,1
235, 15, 410, 680, 2
236, 0, 0, 390,2
237, -15, 414, 775, 2
238, 0, 0, 738,2
239, -45, 543, 347, 3
240, -15, 406, 442, 1
241, 0, 465, 525, 3
242, 0, 513, 652, 1
243, 45, 0, 348,2
244, 30, 404, 575, 1
245, 15, 428, 444, 2
246, -45, 0, 774,3
247, -45, 386, 515, 1
248, 15, 405, 479, 2
249, -15, 470, 649, 2
