trial, dist, RT, interstim, NumberofLED
1,0,390,634,3
2,45,355,779,2
3,-15,366,541,3
4,30,383,501,2
5,45,390,303,1
6,30,0,318,1
7,30,389,361,1
8,-30,389,779,1
9,-15,491,690,1
10,15,345,342,2
11,30,340,374,3
12,0,564,567,3
13,-30,368,674,3
14,30,0,406,1
15,-15,514,415,3
16,0,396,639,1
17,-15,376,553,1
18,0,406,646,3
19,-30,527,661,2
20,-45,510,494,1
21,30,335,565,3
22,-45,563,779,1
23,-30,455,740,2
24,-45,0,348,1
25,30,413,354,3
26,-45,381,410,2
27,-15,484,553,3
28,-45,433,349,1
29,15,363,707,3
30,-30,426,703,2
31,45,493,427,1
32,-45,383,445,1
33,15,407,662,3
34,15,384,751,1
35,-15,407,798,2
36,-30,389,388,1
37,-30,351,466,1
38,0,394,307,1
39,0,542,334,3
40,45,390,732,1
41,-45,392,746,3
42,-15,387,419,1
43,-15,416,355,2
44,15,323,782,3
45,-30,430,541,3
46,-30,397,789,2
47,-15,507,465,2
48,0,307,395,2
49,-30,554,654,2
50,0,0,778,1
51,15,490,406,3
52,-45,454,654,2
53,-30,368,792,2
54,30,326,475,3
55,30,368,593,3
56,45,480,576,2
57,-45,537,653,1
58,-45,544,705,2
59,-45,447,524,2
60,0,465,644,1
61,-15,478,503,3
62,-45,0,608,1
63,-30,612,441,3
64,-45,454,481,2
65,-30,453,651,3
66,-15,394,697,3
67,15,0,304,1
68,45,0,462,2
69,-45,568,733,2
70,-15,415,707,2
71,-15,380,684,2
72,30,491,781,1
73,0,450,353,1
74,15,463,374,2
75,30,386,532,2
76,-45,496,543,1
77,15,402,648,3
78,-30,666,603,3
79,30,418,534,1
80,-15,435,448,1
81,-45,497,631,2
82,-45,497,388,3
83,-45,562,345,1
84,-45,450,474,1
85,-45,489,617,1
86,-45,654,314,2
87,45,614,304,1
88,45,399,696,3
89,15,376,754,2
90,30,339,514,2
91,15,424,721,1
92,0,404,344,2
93,-15,406,550,1
94,-15,352,490,2
95,-30,502,312,3
96,-45,423,756,1
97,0,427,717,3
98,45,630,314,3
99,0,342,585,2
100,-30,471,493,3
101,0,0,599,1
102,-15,416,468,1
103,-45,495,452,2
104,30,482,738,1
105,-15,385,649,2
106,15,352,564,2
107,-15,416,508,1
108,-15,465,515,3
109,-30,487,326,2
110,45,435,477,3
111,15,346,425,3
112,30,376,466,2
113,45,412,685,2
114,30,429,615,1
115,-45,475,671,2
116,30,510,664,2
117,30,361,714,3
118,15,406,633,1
119,-30,465,463,1
120,-15,462,344,3
121,-30,404,605,1
122,-45,373,707,3
123,-45,490,333,2
124,-15,439,603,1
125,15,383,457,2
126,-15,460,436,1
127,0,396,445,2
128,15,391,699,1
129,45,476,587,3
130,-15,635,794,1
131,45,501,479,1
132,0,345,318,2
133,-30,387,750,1
134,15,458,435,3
135,-15,320,650,2
136,-15,413,435,1
137,15,399,328,3
138,30,654,493,3
139,0,520,605,2
140,-15,355,324,2
141,15,397,647,3
142,15,395,722,1
143,-45,358,672,1
144,-30,459,584,1
145,-45,458,688,3
146,15,334,388,3
147,30,446,562,2
148,-15,495,419,3
149,-45,525,644,2
150,45,443,748,3
151,30,440,420,1
152,15,377,586,1
153,-45,481,670,2
154,0,378,612,1
155,45,475,756,1
156,30,525,398,3
157,-15,406,777,3
158,30,437,610,1
159,15,404,758,2
160,-15,371,527,2
161,45,506,339,3
162,0,395,559,3
163,15,378,635,3
164,-30,416,435,3
165,-30,410,370,3
166,45,450,502,1
167,-45,432,703,2
168,-15,321,755,2
169,-30,618,389,3
170,45,400,359,2
171,0,423,417,3
172,30,405,458,2
173,0,547,450,3
174,45,545,346,2
175,30,466,672,1
176,-30,400,433,2
177,-45,485,332,3
178,0,338,375,2
179,-15,347,707,2
180,-15,442,713,3
181,-30,611,489,3
182,-30,378,388,3
183,-45,484,569,1
184,45,475,758,2
185,-15,623,399,1
186,0,0,443,1
187,-30,447,513,2
188,45,469,478,3
189,45,441,560,3
190,-45,414,729,1
191,-30,475,752,3
192,30,0,544,2
193,15,378,779,2
194,15,616,501,3
195,30,429,458,3
196,15,421,463,2
197,-30,376,755,2
198,30,465,630,3
199,-45,475,523,2
200,-30,512,570,1
201,-15,0,374,3
202,-45,549,760,2
203,15,496,535,3
204,45,523,791,2
205,45,0,384,3
206,45,539,476,2
207,-30,408,619,3
208,30,394,305,1
209,-45,483,487,2
210,30,412,663,2
211,30,525,415,1
212,45,496,666,2
