trial,dist,RT,interstim,NumberofLED
1,0,323,749,1
2,-45,453,764,3
3,30,492,415,2
4,15,277,503,1
5,45,0,358,1
6,-15,373,416,3
7,15,365,748,3
8,-45,0,570,2
9,45,368,652,3
10,45,343,344,3
11,-30,326,389,1
12,0,460,676,3
13,-15,414,474,3
14,15,0,691,2
15,-15,326,533,1
16,45,650,752,3
17,-45,488,588,3
18,-15,500,553,3
19,45,384,714,1
20,-45,508,417,3
21,30,334,558,1
22,45,348,605,3
23,45,379,563,3
24,-45,0,621,3
25,45,823,781,2
26,0,440,315,2
27,-45,424,352,1
28,-30,399,561,2
29,45,540,328,2
30,0,396,363,3
31,0,450,498,1
32,0,410,698,3
33,45,356,663,1
34,15,408,565,3
35,-30,412,745,3
36,-45,403,402,3
37,-45,338,559,1
38,-15,395,629,2
39,-45,339,407,1
40,45,334,551,3
41,30,534,681,3
42,45,401,360,1
43,-15,469,784,2
44,-30,462,371,2
45,15,344,707,2
46,-30,485,368,3
47,-30,416,411,2
48,45,355,481,1
49,0,417,712,2
50,-30,543,490,3
51,-30,375,768,1
52,-45,338,726,1
53,-45,454,426,2
54,15,366,660,1
55,15,342,465,2
56,0,312,756,2
57,0,432,667,3
58,-15,302,738,1
59,-15,490,692,2
60,-15,481,575,2
61,15,380,621,3
62,-15,360,460,1
63,30,0,600,1
64,45,354,790,1
65,-30,395,577,3
66,-45,433,502,3
67,0,395,487,3
68,45,537,470,1
69,0,337,582,1
70,45,542,508,3
71,15,596,473,3
72,15,463,611,1
73,15,503,381,2
74,45,415,646,2
75,45,0,629,2
76,0,403,367,3
77,30,341,685,2
78,15,385,506,1
79,0,395,684,3
80,45,535,798,3
81,-30,410,434,3
82,-30,388,526,1
83,-15,421,750,3
84,-30,746,767,2
85,-45,364,498,1
86,15,372,353,2
87,30,354,716,2
88,45,512,686,1
89,-30,473,333,3
90,30,330,478,2
91,-45,411,430,3
92,15,466,469,3
93,-15,640,584,2
94,0,346,592,1
95,0,454,312,2
96,-45,496,416,1
97,45,454,778,3
98,-45,407,395,1
99,-15,501,764,3
100,30,415,428,2
101,30,439,770,1
102,-45,365,483,1
103,15,369,366,1
104,45,384,377,3
105,-45,477,424,3
106,45,407,520,1
107,45,441,687,1
108,-15,438,537,3
109,0,530,755,3
110,-45,409,346,1
111,-30,331,588,1
112,15,414,421,3
113,-45,390,567,3
114,0,310,588,1
115,45,374,762,1
116,-45,0,718,2
117,-15,498,435,2
118,45,683,655,2
119,30,481,431,2
120,-30,341,462,1
121,-30,501,402,3
122,15,377,634,3
123,30,411,453,3
124,0,485,700,2
125,-45,515,432,3
126,15,372,424,2
127,-30,505,329,3
128,15,390,620,3
129,45,0,307,3
130,30,443,717,2
131,45,587,485,2
132,45,438,638,2
133,-45,661,791,3
134,0,373,629,3
135,15,401,747,1
136,30,0,795,2
137,30,412,567,2
138,15,384,323,2
139,-45,503,339,3
140,-15,358,492,1
141,45,421,668,1
142,30,343,580,1
143,-30,357,634,1
144,-15,406,476,2
145,45,487,354,2
146,0,689,318,2
147,-30,457,549,2
148,0,470,381,3
149,15,402,498,1
150,30,428,493,3
151,45,0,321,2
152,30,545,615,3
153,45,458,308,2
154,-30,455,780,2
155,30,483,617,2
156,45,575,588,1
157,-45,416,389,1
158,0,353,585,3
159,-45,387,784,2
160,45,532,598,2
161,30,0,723,3
162,0,0,699,1
163,-45,483,502,1
164,0,401,309,2
165,-15,390,709,1
166,0,490,611,3
167,0,447,370,3
168,-30,341,315,1
169,15,505,641,3
170,30,438,560,1
171,-45,407,756,3
172,45,435,706,1
173,-30,591,631,2
174,15,393,302,1
175,45,493,536,2
176,30,473,546,1
177,-15,386,672,1
178,-45,387,525,2
179,30,548,543,2
180,-30,462,362,2
181,-45,557,797,1
182,15,411,533,3
183,0,422,322,2
184,-45,478,312,2
185,30,0,306,1
186,0,551,753,3
187,30,379,627,1
188,0,376,669,2
189,0,403,452,1
190,45,421,617,1
191,15,491,673,2
192,-15,342,641,1
193,45,412,320,3
194,45,438,531,2
195,-15,485,414,3
196,-30,0,417,3
197,-45,624,705,2
198,30,467,798,1
199,45,435,313,1
200,15,373,631,1
201,45,534,583,2
202,30,372,589,2
203,0,416,687,3
204,45,625,631,3
205,-15,352,353,1
206,-45,500,628,1
207,30,413,782,3
208,-45,646,588,2
209,30,446,518,3
210,-45,594,729,2
211,30,423,666,3
212,45,406,780,1
213,15,427,671,2
214,45,464,712,1
