trial, dist, RT, interstim, NumberofLED
1,0,305,634,3
2,45,323,779,3
3,-15,288,541,3
4,30,269,501,3
5,45,0,303,1
6,30,262,318,3
7,30,320,361,1
8,-30,284,779,3
9,-15,367,690,1
10,15,255,342,3
11,30,255,374,3
12,0,243,567,3
13,-30,0,674,3
14,30,279,406,3
15,-15,308,415,3
16,0,308,639,1
17,-15,298,553,1
18,0,0,646,3
19,-30,522,661,1
20,-45,272,494,3
21,30,289,565,1
22,-45,284,779,1
23,-30,390,740,3
24,-45,275,348,3
25,30,392,354,1
26,-45,245,410,3
27,-15,279,553,1
28,-45,328,349,1
29,15,434,707,1
30,-30,277,703,1
31,45,334,427,1
32,-45,303,445,1
33,15,0,662,1
34,15,339,751,1
35,-15,366,798,3
36,-30,320,388,3
37,-30,427,466,3
38,0,361,307,3
39,0,288,334,3
40,45,502,732,1
41,-45,333,746,3
42,-15,284,419,3
43,-15,262,355,3
44,15,284,782,3
45,-30,271,541,1
46,-30,266,789,1
47,-15,323,465,1
48,0,307,395,1
49,-30,328,654,3
50,0,318,778,3
51,15,0,406,1
52,-45,404,654,1
53,-30,313,792,3
54,30,377,475,1
55,30,300,593,3
56,45,543,576,3
57,-45,310,653,1
58,-45,478,705,1
59,-45,297,524,1
60,0,259,644,1
61,-15,349,503,3
62,-45,356,608,3
63,-30,348,441,3
64,-45,0,481,3
65,-30,356,651,3
66,-15,290,697,1
67,15,330,304,1
68,45,377,462,1
69,-45,390,733,1
70,-15,457,707,3
71,-15,301,684,3
72,30,314,781,1
73,0,289,353,1
74,15,292,374,1
75,30,291,532,3
76,-45,341,543,3
77,15,289,648,1
78,-30,307,603,1
79,30,428,534,3
80,-15,290,448,3
81,-45,0,631,3
82,-45,357,388,3
83,-45,275,345,3
84,-45,279,474,1
85,-45,313,617,3
86,-45,329,314,1
87,45,275,304,3
88,45,283,696,3
89,15,279,754,1
90,30,397,514,3
91,15,276,721,1
92,0,432,344,3
93,-15,297,550,3
94,-15,321,490,3
95,-30,308,312,1
96,-45,313,756,3
97,0,316,717,1
98,45,395,314,1
99,0,0,585,3
100,-30,368,493,3
101,0,410,599,3
102,-15,248,468,1
103,-45,296,452,3
104,30,315,738,3
105,-15,387,649,1
106,15,288,564,1
107,-15,275,508,3
108,-15,277,515,3
109,-30,346,326,3
110,45,301,477,3
111,15,281,425,3
112,30,267,466,3
113,45,361,685,1
114,30,360,615,1
115,-45,477,671,1
116,30,290,664,1
117,30,345,714,1
118,15,330,633,3
119,-30,337,463,3
120,-15,289,344,3
121,-30,374,605,1
122,-45,276,707,1
123,-45,351,333,3
124,-15,279,603,1
125,15,319,457,1
126,-15,349,436,3
127,0,299,445,1
128,15,307,699,1
129,45,508,587,3
130,-15,0,794,3
131,45,314,479,3
132,0,295,318,3
133,-30,269,750,1
134,15,269,435,3
135,-15,284,650,1
136,-15,303,435,3
137,15,290,328,1
138,30,326,493,1
139,0,301,605,1
140,-15,422,324,3
141,15,296,647,3
142,15,253,722,3
143,-45,290,672,3
144,-30,308,584,3
145,-45,290,688,1
146,15,244,388,3
147,30,274,562,1
148,-15,335,419,3
149,-45,336,644,3
150,45,307,748,3
151,30,383,420,3
152,15,274,586,3
153,-45,210,670,1
154,0,406,612,1
155,45,273,756,3
156,30,283,398,3
157,-15,280,777,1
158,30,246,610,3
159,15,274,758,1
160,-15,310,527,1
161,45,341,339,3
162,0,364,559,3
163,15,369,635,1
164,-30,420,435,1
165,-30,386,370,3
166,45,368,502,1
167,-45,285,703,1
168,-15,297,755,3
169,-30,369,389,3
170,45,632,359,3
171,0,333,417,3
172,30,386,458,1
173,0,440,450,3
174,45,351,346,3
175,30,346,672,1
176,-30,301,433,1
177,-45,331,332,1
178,0,295,375,1
179,-15,310,707,1
180,-15,319,713,3
181,-30,317,489,1
182,-30,474,388,3
183,-45,343,569,1
184,45,290,758,3
185,-15,425,399,3
186,0,304,443,1
187,-30,299,513,1
188,45,297,478,3
189,45,409,560,1
190,-45,308,729,3
191,-30,268,752,3
192,30,320,544,1
193,15,271,779,3
194,15,246,501,3
195,30,272,458,3
196,15,293,463,3
197,-30,0,755,3
198,30,238,630,3
199,-45,314,523,3
200,-30,0,570,3
201,-15,471,374,1
202,-45,357,760,3
203,15,335,535,1
204,45,381,791,1
205,45,338,384,1
206,45,474,476,3
207,-30,313,619,3
208,30,338,305,3
209,-45,326,487,3
210,30,415,663,1
211,30,421,415,1
