trial, dist, RT, interstim, NumberofLED
1, -45, 343, 653, 3
2, -30, 287, 751, 1
3, 0, 268, 477, 1
4, -30, 306, 473, 3
5, -45, 386, 610, 3
6, -45, 366, 537, 3
7, 45, 260, 345, 3
8, -15, 319, 631, 3
9, -45, 327, 500, 3
10, 15, 283, 353, 1
11, -15, 286, 348, 3
12, 0, 320, 494, 3
13, -15, 348, 708, 1
14, 15, 303, 673, 1
15, -15, 368, 616, 3
16, 0, 324, 686, 1
17, 30, 279, 685, 3
18, -30, 250, 680, 1
19, 0, 244, 480, 1
20, 30, 384, 604, 3
21, 30, 323, 664, 1
22, 45, 356, 756, 1
23, -30, 276, 383, 3
24, -45, 307, 438, 1
25, 0, 286, 530, 3
26, -30, 265, 434, 1
27, -30, 289, 539, 1
28, -30, 285, 517, 3
29, 0, 286, 380, 1
30, 0, 483, 638, 1
31, 15, 292, 616, 1
32, 30, 287, 560, 1
33, -15, 287, 732, 1
34, 30, 461, 797, 1
35, 45, 335, 533, 3
36, -30, 484, 730, 3
37, -45, 0, 532,3
38, 0, 291, 748, 1
39, -15, 268, 773, 1
40, 30, 214, 761, 3
41, 30, 283, 342, 3
42, 45, 269, 753, 3
43, -15, 267, 442, 1
44, 30, 332, 758, 1
45, -15, 366, 646, 3
46, -30, 263, 497, 3
47, 15, 259, 475, 3
48, -30, 287, 535, 3
49, -30, 299, 580, 3
50, -30, 301, 683, 3
51, -45, 333, 463, 1
52, -15, 0, 676,3
53, 30, 310, 775, 1
54, 15, 302, 366, 1
55, -15, 327, 318, 1
56, -30, 307, 799, 3
57, -45, 329, 741, 3
58, 30, 367, 381, 3
59, 30, 307, 354, 3
60, 0, 336, 564, 3
61, 0, 359, 311, 1
62, -45, 401, 690, 1
63, -15, 324, 505, 3
64, 30, 292, 558, 3
65, 0, 341, 496, 3
66, 45, 307, 461, 1
67, 30, 351, 739, 3
68, 30, 287, 503, 3
69, 15, 290, 734, 1
70, -15, 283, 789, 3
71, -45, 326, 341, 3
72, -45, 277, 318, 1
73, 0, 292, 491, 1
74, 0, 288, 646, 1
75, -30, 302, 680, 3
76, -45, 265, 486, 3
77, 0, 287, 499, 1
78, 30, 270, 501, 1
79, 0, 311, 455, 1
80, -30, 257, 642, 1
81, 45, 349, 422, 1
82, 15, 299, 739, 1
83, 45, 305, 438, 3
84, -30, 346, 498, 1
85, -45, 392, 461, 3
86, -15, 304, 345, 1
87, -45, 305, 730, 3
88, -15, 314, 367, 1
89, 30, 248, 408, 3
90, -45, 291, 580, 1
91, 30, 289, 523, 3
92, -15, 251, 330, 1
93, 0, 282, 674, 1
94, -30, 369, 568, 1
95, 0, 279, 682, 1
96, 15, 284, 629, 3
97, 0, 271, 693, 1
98, -45, 329, 518, 1
99, 30, 336, 777, 1
100, 15, 434, 558, 3
101, 30, 304, 726, 3
102, -30, 244, 734, 1
103, 45, 275, 388, 3
104, 45, 346, 674, 1
105, 0, 278, 680, 1
106, 0, 269, 512, 1
107, -15, 393, 661, 3
108, -30, 256, 606, 1
109, 15, 0, 683,1
110, -45, 0, 329,3
111, 15, 540, 625, 3
