trial,dist,RT,interstim,NumberofLED
1,-45,315,774,1
2,15,16,469,3
3,-30,0,774,3
4,45,0,388,1
5,45,331,644,3
6,15,0,761,3
7,-45,465,632,3
8,0,289,601,1
9,0,324,391,1
10,0,283,491,3
11,-30,245,668,1
12,-15,376,760,1
13,45,294,490,3
14,-30,0,650,3
15,-30,203,570,1
16,-45,213,745,1
17,30,0,551,3
18,30,0,736,1
19,-30,331,345,1
20,15,251,768,3
21,-15,272,712,1
22,-45,280,377,1
23,45,0,398,1
24,15,361,361,3
25,-15,0,319,3
26,-15,255,367,1
27,-15,328,701,3
28,-45,0,788,3
29,-15,239,548,1
30,45,398,725,1
31,45,267,452,3
32,30,261,615,3
33,0,345,306,3
34,0,277,308,3
35,0,334,336,1
36,-15,381,431,3
37,45,0,729,1
38,0,0,722,3
39,-15,427,623,3
40,15,311,624,1
41,15,295,799,3
42,-45,358,403,1
43,0,405,322,3
44,-15,415,493,1
45,-45,512,740,3
46,15,292,680,3
47,15,314,621,1
48,15,333,722,3
49,30,446,681,1
50,-45,467,594,3
51,45,332,523,1
52,30,488,446,3
53,0,889,631,3
54,-30,561,643,3
55,45,325,677,3
56,15,389,310,1
57,30,453,680,3
58,-30,359,586,1
59,0,339,610,3
60,0,290,383,3
61,-45,425,674,3
62,-45,385,595,3
63,-45,403,303,1
64,0,342,382,3
65,-30,346,587,1
66,-15,0,554,1
67,-45,361,561,1
68,-45,329,304,1
69,-45,427,574,3
70,-30,358,397,3
71,-15,391,627,1
72,-15,306,423,1
73,45,317,661,3
74,30,335,727,3
75,-45,446,609,3
76,-45,0,353,1
77,-45,617,680,3
78,0,413,304,3
79,-30,317,311,3
80,-30,307,572,1
81,-15,401,732,3
82,15,278,656,3
83,-15,308,425,3
84,45,447,683,1
85,30,256,572,3
86,-45,309,471,1
87,-30,723,336,3
88,-15,341,697,3
89,-45,423,482,3
90,-30,294,626,3
91,45,253,768,3
92,30,0,729,1
93,-15,338,658,3
94,-30,374,755,3
95,45,347,304,3
96,45,312,377,3
97,45,242,513,3
98,15,446,306,3
99,-45,422,790,3
100,-45,276,669,3
101,45,432,601,1
102,-45,283,377,1
103,-30,495,617,3
104,0,449,404,3
105,0,378,672,1
106,-30,406,326,3
107,-45,409,745,3
108,-45,366,638,1
109,15,254,785,3
110,0,365,653,3
111,-45,351,470,3
112,-30,370,723,1
113,-15,505,530,1
114,0,455,320,3
115,30,338,301,3
116,15,363,631,3
117,0,357,532,3
118,-15,0,502,3
119,-15,427,603,1
120,-30,388,515,3
121,-45,529,513,1
122,-30,407,303,1
123,-15,292,538,1
124,15,290,664,3
125,0,328,565,3
126,15,0,558,1
127,15,389,308,3
128,-30,338,701,3
129,30,343,646,1
130,30,347,560,3
131,15,383,787,1
132,-45,551,691,3
133,-45,431,556,3
134,30,329,680,1
135,15,359,719,3
136,30,0,633,3
137,-45,376,570,1
138,-15,392,472,3
139,-30,458,790,1
140,-45,478,303,3
141,15,409,380,1
142,30,0,672,1
143,-30,0,397,3
144,-15,293,380,3
145,-45,360,641,3
146,-45,366,368,1
147,30,314,433,3
148,0,440,374,1
149,-45,403,657,3
150,45,0,560,1
151,-15,324,456,1
152,-45,524,653,3
153,0,277,577,3
154,45,424,476,1
155,45,536,721,1
156,30,355,615,1
157,0,294,616,1
158,-45,375,333,1
159,-15,354,794,3
160,30,314,429,3
161,30,555,325,1
162,45,0,492,1
163,0,418,662,3
164,-15,694,430,3
165,-15,399,359,1
166,0,374,695,1
167,45,328,399,3
168,0,418,399,1
169,15,385,538,1
170,0,433,671,3
171,15,264,636,3
172,-30,345,547,1
173,0,459,566,3
174,15,394,739,1
175,-45,352,660,3
176,-45,292,793,1
177,0,365,596,1
178,45,408,414,1
179,-30,379,387,3
180,-30,0,739,3
181,45,367,639,3
182,30,336,739,3
183,0,532,731,1
184,45,352,733,3
185,30,274,743,3
186,-30,473,734,3
187,-45,388,517,1
188,30,392,315,3
189,-30,351,626,1
190,-15,352,612,1
191,-15,403,377,3
192,15,534,728,3
193,-15,390,724,1
194,0,359,581,1
195,-45,324,482,1
196,-45,511,322,3
197,-30,399,594,1
198,-15,339,601,3
199,-15,0,324,1
200,30,455,628,1
201,-30,392,667,3
202,15,308,635,1
203,30,479,469,1
204,0,437,424,1
205,15,315,414,1
206,30,356,640,1
207,30,290,656,3
208,30,0,785,1
209,0,0,310,3
210,30,381,639,1
211,-15,287,567,3
212,-45,528,670,1
213,-15,300,335,1
214,15,365,795,1
215,15,358,483,1
216,0,287,465,1
217,-30,0,556,3
218,0,290,652,3
219,15,510,377,1
220,-30,394,658,3
221,15,324,543,3
222,15,364,370,1
223,-15,0,413,3
224,0,408,581,1
225,-15,394,577,1
226,15,332,672,3
227,-15,449,530,1
