trial,dist,RT,interstim,NumberofLED
1,30,591,565,3
2,15,444,603,1
3,-30,360,534,3
4,-45,457,612,1
5,30,475,424,1
6,-45,365,762,1
7,15,291,403,3
8,-15,329,718,1
9,15,741,402,3
10,15,452,684,3
11,-15,690,342,3
12,-45,458,619,1
13,45,396,402,1
14,30,437,427,1
15,15,370,640,1
16,-30,314,459,1
17,-15,260,701,3
18,30,0,599,1
19,-45,0,433,1
20,-15,0,682,1
21,15,0,511,1
22,45,0,758,1
23,-45,0,780,1
24,45,422,572,1
25,-30,479,602,1
26,-45,432,429,3
27,30,372,575,3
28,-30,324,727,1
29,45,393,741,3
30,-45,329,338,1
31,-15,365,536,3
32,45,405,496,1
33,30,364,306,1
34,45,305,572,3
35,-15,435,734,3
36,15,349,635,1
37,15,332,413,1
38,-45,354,680,1
39,-30,372,463,3
40,15,327,557,3
41,-15,366,355,3
42,0,396,499,1
43,-45,335,545,3
44,-30,509,415,1
45,-45,371,517,3
46,-15,323,604,1
47,-30,461,388,3
48,-30,314,626,3
49,0,322,584,1
50,-45,400,724,1
51,45,412,339,1
52,-15,370,339,3
53,45,445,605,1
54,30,305,471,1
55,0,345,444,3
56,0,266,598,1
57,-15,346,392,3
58,15,509,627,1
59,30,325,564,3
60,-45,316,314,1
61,-30,423,589,3
62,30,331,609,1
63,-45,445,324,3
64,45,318,720,3
65,30,323,786,3
66,-15,326,476,1
67,0,335,574,1
68,45,390,606,1
69,-30,392,748,3
70,45,321,494,1
71,45,307,366,1
72,-45,372,414,3
73,45,446,508,3
74,-45,379,646,3
75,-30,343,424,1
76,45,422,334,1
77,-15,329,454,1
78,45,341,403,1
79,45,276,506,1
80,30,320,353,1
81,-45,493,744,3
82,-15,433,424,3
83,45,349,402,1
84,0,453,324,1
85,45,361,625,3
86,-45,369,400,3
87,30,319,638,3
88,15,436,356,1
89,30,332,508,1
90,-15,288,652,1
91,15,331,743,3
92,-30,402,338,3
93,0,410,778,1
94,45,473,733,1
95,-15,314,605,1
96,-45,314,314,1
97,-30,368,771,1
98,15,311,641,1
99,30,351,341,3
100,-15,350,740,3
101,45,364,310,1
102,-15,311,620,1
103,-30,307,367,1
104,0,326,748,1
105,-15,305,769,1
106,0,531,651,1
107,-30,298,533,1
108,45,351,722,3
109,30,365,409,3
110,45,365,511,1
111,45,336,461,1
112,30,392,508,3
113,-45,393,460,3
114,0,358,665,3
115,0,262,684,3
116,-15,518,479,3
117,-30,394,456,3
118,45,375,463,3
119,45,299,447,3
120,-15,435,530,3
121,-15,369,616,3
122,-30,347,594,3
123,-15,459,430,1
124,-45,431,534,3
125,-15,330,426,3
126,-15,524,592,1
127,45,329,470,1
128,0,325,707,3
129,45,322,701,3
130,-15,356,428,1
131,0,391,412,3
132,30,428,526,1
133,-30,345,578,3
134,45,382,535,3
135,-30,334,435,1
136,0,342,335,1
137,30,288,763,3
138,-15,312,465,1
139,0,323,681,3
140,-30,374,334,3
141,45,354,387,1
142,15,280,710,3
143,30,347,546,1
144,-30,471,469,3
145,45,346,541,1
146,-30,358,530,1
147,-30,342,797,3
148,-15,341,308,1
149,45,412,402,1
150,-15,366,447,3
151,0,326,570,1
152,-15,327,763,1
153,-45,343,552,1
154,-45,355,791,3
155,30,296,638,3
156,15,358,799,3
157,30,478,568,3
158,45,337,763,3
159,30,328,533,3
160,15,329,798,3
161,-45,397,649,1
162,15,424,698,1
163,-15,340,774,1
164,-30,348,459,3
165,-30,346,745,1
166,-30,517,707,1
167,-30,291,376,1
168,45,302,658,3
169,-30,335,581,1
170,30,368,314,3
171,-45,324,507,1
172,0,358,535,1
173,-15,318,532,3
174,15,377,378,1
175,-30,307,702,1
176,-15,288,630,1
177,0,261,743,1
178,30,328,431,3
179,-45,441,788,3
180,15,423,564,1
181,-30,490,307,3
182,15,327,740,1
183,-30,507,713,3
184,15,329,527,3
185,-15,405,329,3
186,30,318,349,3
187,-15,338,754,1
188,-45,333,308,1
189,45,510,383,1
190,0,292,599,1
191,0,363,798,3
192,-30,352,713,1
193,-30,299,353,1
194,45,232,483,1
195,-45,299,576,1
196,-45,0,331,3
197,-15,311,731,1
198,30,357,786,3
199,45,343,303,1
200,-15,302,755,1
201,-30,527,366,3
202,0,346,611,3
203,-45,524,556,3
204,45,427,310,1
205,15,366,635,3
206,0,371,612,3
207,15,391,501,1
