trial, dist, RT, interstim, NumberofLED
1,0,314,634,3
2,45,273,779,3
3,-15,268,541,3
4,30,243,501,3
5,45,374,303,1
6,30,386,318,3
7,30,290,361,1
8,-30,367,779,3
9,-15,290,690,1
10,15,254,342,3
11,30,288,374,3
12,0,269,567,3
13,-30,0,674,3
14,30,355,406,3
15,-15,420,415,3
16,0,356,639,1
17,-15,278,553,1
18,0,279,646,3
19,-30,288,661,1
20,-45,336,494,3
21,30,404,565,1
22,-45,450,779,1
23,-30,294,740,3
24,-45,296,348,3
25,30,366,354,1
26,-45,316,410,3
27,-15,280,553,1
28,-45,343,349,1
29,15,330,707,1
30,-30,396,703,1
31,45,247,427,1
32,-45,329,445,1
33,15,330,662,1
34,15,299,751,1
35,-15,289,798,3
36,-30,610,388,3
37,-30,278,466,3
38,0,303,307,3
39,0,309,334,3
40,45,429,732,1
41,-45,299,746,3
42,-15,290,419,3
43,-15,303,355,3
44,15,342,782,3
45,-30,247,541,1
46,-30,295,789,1
47,-15,375,465,1
48,0,274,395,1
49,-30,402,654,3
50,0,266,778,3
51,15,312,406,1
52,-45,256,654,1
53,-30,292,792,3
54,30,274,475,1
55,30,252,593,3
56,45,383,576,3
57,-45,394,653,1
58,-45,278,705,1
59,-45,272,524,1
60,0,291,644,1
61,-15,487,503,3
62,-45,306,608,3
63,-30,289,441,3
64,-45,294,481,3
65,-30,328,651,3
66,-15,288,697,1
67,15,233,304,1
68,45,324,462,1
69,-45,291,733,1
70,-15,309,707,3
71,-15,234,684,3
72,30,319,781,1
73,0,321,353,1
74,15,383,374,1
75,30,332,532,3
76,-45,371,543,3
77,15,0,648,1
78,-30,371,603,1
79,30,322,534,3
80,-15,374,448,3
81,-45,481,631,3
82,-45,348,388,3
83,-45,395,345,3
84,-45,0,474,1
85,-45,331,617,3
86,-45,328,314,1
87,45,278,304,3
88,45,270,696,3
89,15,308,754,1
90,30,559,514,3
91,15,296,721,1
92,0,283,344,3
93,-15,218,550,3
94,-15,303,490,3
95,-30,318,312,1
96,-45,376,756,3
97,0,297,717,1
98,45,391,314,1
99,0,312,585,3
100,-30,282,493,3
101,0,280,599,3
102,-15,286,468,1
103,-45,315,452,3
104,30,330,738,3
105,-15,394,649,1
106,15,338,564,1
107,-15,269,508,3
108,-15,282,515,3
109,-30,298,326,3
110,45,267,477,3
111,15,329,425,3
112,30,296,466,3
113,45,458,685,1
114,30,336,615,1
115,-45,301,671,1
116,30,295,664,1
117,30,293,714,1
118,15,237,633,3
119,-30,230,463,3
120,-15,285,344,3
121,-30,263,605,1
122,-45,417,707,1
123,-45,402,333,3
124,-15,0,603,1
125,15,329,457,1
126,-15,257,436,3
127,0,326,445,1
128,15,295,699,1
129,45,302,587,3
130,-15,0,794,3
131,45,319,479,3
132,0,354,318,3
133,-30,475,750,1
134,15,343,435,3
135,-15,283,650,1
136,-15,220,435,3
137,15,316,328,1
138,30,289,493,1
139,0,292,605,1
140,-15,385,324,3
141,15,248,647,3
142,15,282,722,3
143,-45,380,672,3
144,-30,305,584,3
145,-45,276,688,1
146,15,311,388,3
147,30,256,562,1
148,-15,398,419,3
149,-45,0,644,3
150,45,282,748,3
151,30,241,420,3
152,15,258,586,3
153,-45,0,670,1
154,0,301,612,1
155,45,242,756,3
156,30,285,398,3
157,-15,215,777,1
158,30,237,610,3
159,15,268,758,1
160,-15,269,527,1
161,45,310,339,3
162,0,285,559,3
163,15,447,635,1
164,-30,466,435,1
165,-30,442,370,3
166,45,348,502,1
167,-45,299,703,1
168,-15,330,755,3
169,-30,342,389,3
170,45,280,359,3
171,0,288,417,3
172,30,360,458,1
173,0,407,450,3
174,45,262,346,3
175,30,282,672,1
176,-30,249,433,1
177,-45,332,332,1
178,0,277,375,1
179,-15,230,707,1
180,-15,296,713,3
181,-30,256,489,1
182,-30,407,388,3
183,-45,279,569,1
184,45,282,758,3
185,-15,282,399,3
186,0,310,443,1
187,-30,256,513,1
188,45,237,478,3
189,45,353,560,1
190,-45,371,729,3
191,-30,304,752,3
192,30,366,544,1
193,15,401,779,3
194,15,299,501,3
195,30,278,458,3
196,15,257,463,3
197,-30,256,755,3
198,30,255,630,3
199,-45,280,523,3
200,-30,452,570,3
201,-15,314,374,1
202,-45,393,760,3
203,15,588,535,1
204,45,303,791,1
205,45,361,384,1
206,45,372,476,3
207,-30,406,619,3
