trial, dist, RT, interstim, NumberofLED
1, 30, 0, 494,3
2, -15, 370, 442, 1
3, -15, 432, 308, 1
4, 30, 452, 467, 3
5, 30, 446, 315, 3
6, -45, 457, 728, 3
7, -15, 425, 737, 1
8, -45, 444, 457, 3
9, -15, 407, 342, 1
10, 45, 462, 693, 3
11, 0, 404, 580, 1
12, 30, 0, 374,3
13, 0, 407, 505, 1
14, -15, 420, 515, 1
15, 15, 464, 613, 3
16, 30, 0, 386,3
17, 45, 506, 408, 1
18, -45, 481, 409, 3
19, -45, 431, 330, 3
20, 15, 403, 720, 1
21, -15, 435, 771, 1
22, 45, 673, 681, 1
23, -15, 562, 435, 1
24, 0, 596, 482, 3
25, -15, 523, 536, 1
26, 30, 483, 453, 1
27, -30, 585, 758, 3
28, -45, 603, 763, 1
29, 30, 485, 513, 3
30, 0, 756, 328, 1
31, 45, 673, 755, 3
32, 0, 434, 422, 3
33, 30, 516, 518, 3
34, 45, 429, 547, 1
35, -15, 0, 760,3
36, -45, 496, 492, 1
37, 0, 430, 556, 1
38, 0, 467, 392, 3
39, 30, 502, 398, 1
40, -15, 480, 340, 3
41, -15, 537, 340, 3
42, 30, 538, 435, 3
43, -45, 340, 388, 3
44, 30, 342, 424, 1
45, -30, 526, 342, 1
46, 30, 665, 545, 3
47, -45, 539, 309, 1
48, -30, 406, 568, 3
49, 0, 474, 774, 1
50, 45, 529, 315, 3
51, 0, 444, 789, 3
52, -15, 388, 362, 1
53, 45, 477, 306, 1
54, -15, 441, 454, 1
55, 15, 458, 362, 1
56, -15, 444, 342, 1
57, -15, 459, 626, 3
58, 45, 0, 471,3
59, 0, 488, 791, 3
60, -15, 404, 405, 3
61, 0, 388, 332, 3
62, -45, 428, 621, 3
63, -30, 0, 432, 1
64, 0, 478, 580, 3
65, -45, 683, 715, 1
66, -15, 583, 340, 3
67, -15, 405, 400, 1
68, 45, 709, 620, 3
69, -45, 0, 392,3
70, 0, 0, 517,3
71, -30, 0, 388, 1
72, -30, 643, 786, 1
73, -45, 511, 545, 3
74, 0, 387, 374, 1
75, 15, 565, 602, 3
76, -45, 503, 586, 3
77, -30, 471, 616, 1
78, 45, 426, 549, 3
79, 0, 558, 757, 3
80, -15, 631, 471, 3
81, 45, 397, 677, 1
82, -15, 638, 620, 3
83, 15, 445, 765, 1
84, -30, 652, 618, 1
85, 0, 790, 309, 3
86, -30, 426, 510, 1
87, 15, 0, 772,3
88, 0, 306, 548, 1
89, -45, 467, 379, 1
90, -15, 442, 402, 3
91, -15, 332, 674, 1
92, -30, 483, 606, 3
93, 0, 579, 795, 1
94, 0, 443, 372, 3
95, 15, 9, 320, 3
96, -15, 336, 488, 3
97, 45, 486, 421, 1
98, -30, 398, 675, 3
99, 45, 553, 733, 1
100, -15, 425, 464, 3
101, -45, 418, 597, 3
102, 30, 314, 559, 1
103, -45, 351, 640, 3
104, -45, 505, 719, 1
105, -30, 589, 626, 3
106, -30, 583, 302, 3
107, 15, 550, 418, 3
108, 15, 511, 392, 3
109, 45, 409, 367, 3
110, 0, 468, 301, 1
111, -15, 396, 380, 3
112, -30, 448, 709, 3
113, 15, 386, 487, 3
114, -30, 0, 410,1
115, -30, 339, 541, 1
116, 30, 373, 697, 3
117, -45, 365, 396, 1
118, 45, 548, 764, 3
119, -45, 309, 676, 1
120, 0, 544, 673, 3
121, -30, 457, 344, 3
122, 45, 0, 758,3
123, 45, 509, 775, 3
124, -45, 509, 395, 3
125, 45, 583, 349, 3
126, -30, 588, 314, 1
127, -15, 411, 729, 1
128, -30, 475, 697, 3
129, 45, 490, 675, 3
130, 45, 469, 381, 3
131, -45, 448, 524, 1
132, -45, 440, 798, 3
133, -15, 364, 797, 1
134, 15, 643, 543, 3
135, -45, 610, 581, 1
136, 30, 562, 737, 1
137, -30, 540, 439, 1
138, -45, 508, 367, 1
139, 30, 565, 773, 3
140, 30, 400, 492, 3
141, 0, 749, 414, 1
142, 0, 405, 419, 1
143, -45, 574, 594, 3
144, 45, 524, 641, 1
145, 45, 472, 735, 3
146, -30, 554, 408, 1
147, 30, 668, 338, 1
148, -45, 0, 464,3
149, 45, 411, 631, 1
150, 45, 573, 789, 3
151, -15, 545, 384, 1
152, -45, 434, 519, 1
153, 15, 521, 410, 3
154, -45, 375, 395, 1
155, 45, 578, 644, 3
156, 15, 334, 681, 1
157, -45, 607, 791, 1
158, 0, 0, 387,3
159, 45, 556, 722, 1
160, -45, 0, 625,3
161, 45, 510, 500, 3
162, -45, 363, 773, 1
163, 30, 439, 608, 1
164, -45, 0, 587,3
165, 45, 505, 528, 1
166, -15, 0, 662, 3
167, -30, 427, 360, 1
168, -45, 403, 464, 3
169, 30, 504, 740, 1
170, 0, 426, 400, 1
171, -15, 348, 551, 1
172, 0, 0, 722,3
173, 0, 431, 334, 3
174, -15, 538, 453, 3
175, 15, 398, 537, 3
176, 0, 359, 573, 3
177, 15, 388, 715, 1
178, -30, 342, 483, 3
179, 0, 0, 380,3
180, 15, 499, 334, 1
181, 0, 310, 486, 3
182, 0, 411, 684, 1
183, 15, 478, 407, 3
184, 45, 449, 783, 3
185, -45, 0, 555,3
186, 30, 0, 652,3
187, 0, 458, 509, 1
188, -30, 541, 494, 1
189, 0, 431, 494, 1
190, 15, 684, 699, 3
191, -45, 945, 627, 1
192, 45, 0, 713, 3
193, 45, 598, 334, 3
194, 15, 547, 421, 3
195, 0, 633, 581, 3
196, -30, 0, 457,1
197, -45, 606, 563, 1
198, -15, 0, 659, 3
199, 30, 0, 575, 3
200, 15, 0, 659, 3
201, 15, 728, 434, 3
202, 0, 471, 385, 3
203, -15, 573, 748, 1
204, -15, 501, 305, 1
205, -45, 536, 354, 1
206, -45, 462, 665, 1
207, 0, 334, 582, 1
208, 30, 0, 325,3
209, 15, 355, 517, 1
210, 45, 603, 687, 3
211, -45, 365, 410, 1
212, 45, 628, 662, 3
213, -15, 0, 573,3
214, -45, 408, 637, 1
215, 15, 390, 516, 3
216, -30, 373, 396, 3
217, -15, 821, 778, 3
218, -15, 381, 434, 3
219, 45, 370, 652, 3
220, 45, 672, 645, 1
221, 0, 585, 510, 3
222, 15, 481, 346, 1
223, -15, 497, 702, 3
224, -30, 671, 716, 3
225, 0, 652, 622, 3
226, -15, 577, 399, 1
227, 15, 468, 733, 1
228, 0, 516, 571, 1
