trial, dist, RT, interstim, NumberofLED
1, 0, 910, 521, 1
2, 45, 269, 426, 1
3, 15, 195, 386, 1
4, 0, 197, 755, 1
5, 15, 195, 478, 1
6, 15, 153, 698, 1
7, -45, 86, 682, 1
8, 30, 243, 335, 1
9, 0, 206, 353, 1
10, -30, 212, 673, 1
11, 45, 214, 589, 1
12, -15, 183, 608, 1
13, -30, 211, 499, 1
14, -15, 191, 554, 1
15, 30, 213, 402, 1
16, -45, 159, 772, 1
17, -30, 202, 459, 1
18, 0, 185, 735, 1
19, -30, 220, 336, 1
20, -30, 216, 721, 1
21, -45, 258, 758, 1
22, 45, 186, 656, 1
23, 45, 223, 302, 1
24, -15, 206, 536, 1
25, 45, 232, 388, 1
26, 45, 209, 353, 1
27, 15, 167, 593, 1
28, -30, 248, 332, 1
29, 15, 229, 348, 1
30, -15, 180, 688, 1
31, -45, 221, 393, 1
32, 45, 194, 464, 1
33, 0, 204, 446, 1
34, -45, 26, 783, 1
35, 15, 207, 408, 1
36, -30, 163, 764, 1
37, 45, 219, 677, 1
38, 45, 219, 646, 1
39, -45, 300, 308, 1
40, -45, 244, 602, 1
41, 15, 213, 788, 1
42, 30, 207, 622, 1
43, 45, 228, 420, 1
44, 45, 222, 317, 1
45, 0, 202, 526, 1
46, 45, 182, 731, 1
47, 15, 215, 521, 1
48, 15, 219, 598, 1
49, -30, 470, 336, 1
50, 0, 215, 568, 1
51, 30, 193, 527, 1
52, 0, 201, 597, 1
53, -45, 162, 770, 1
54, -15, 209, 597, 1
55, 15, 209, 507, 1
56, -30, 327, 321, 1
57, -45, 167, 791, 1
58, -45, 195, 750, 1
59, 30, 276, 316, 1
60, 45, 259, 439, 1
61, 0, 288, 375, 1
62, -30, 234, 392, 1
63, 0, 187, 557, 1
64, 15, 180, 698, 1
65, -15, 175, 578, 1
66, 0, 196, 660, 1
67, 30, 210, 418, 1
68, 45, 231, 731, 1
69, -45, 246, 755, 1
70, 15, 188, 670, 1
71, -15, 197, 555, 1
72, -45, 216, 712, 1
73, 30, 202, 590, 1
74, -30, 177, 646, 1
75, 15, 225, 443, 1
76, -30, 215, 758, 1
77, -15, 202, 608, 1
78, -15, 239, 354, 1
79, 15, 216, 458, 1
80, 0, 269, 532, 1
81, -45, 175, 655, 1
82, -30, 195, 443, 1
83, 45, 275, 634, 1
84, 15, 195, 737, 1
85, -15, 130, 707, 1
86, -15, 166, 751, 1
87, -45, 211, 739, 1
88, 30, 176, 674, 1
89, 30, 229, 558, 1
90, 15, 243, 438, 1
91, 15, 188, 750, 1
92, -30, 233, 592, 1
93, 0, 215, 433, 1
94, -30, 218, 639, 1
95, 30, 196, 743, 1
96, 30, 239, 333, 1
97, 45, 205, 560, 1
98, 45, 231, 526, 1
99, 45, 217, 623, 1
100, 15, 209, 581, 1
101, 0, 213, 499, 1
102, 0, 284, 313, 1
103, 30, 218, 533, 1
104, 30, 0, 785, 1
105, 45, 332, 490, 1
106, 0, 294, 397, 1
107, -45, 387, 469, 1
108, -30, 226, 383, 1
109, -30, 252, 522, 1
110, -15, 267, 352, 1
111, -45, 226, 379, 1
112, -15, 192, 352, 1
113, -15, 209, 698, 1
114, -30, 227, 447, 1
115, 30, 227, 736, 1
116, 0, 283, 354, 1
117, 15, 222, 442, 1
118, 15, 216, 640, 1
119, -30, 229, 603, 1
120, -30, 221, 769, 1
121, -30, 240, 591, 1
122, 30, 240, 356, 1
123, -15, 214, 612, 1
124, -45, 258, 429, 1
125, 0, 231, 381, 1
126, -30, 243, 529, 1
127, 30, 214, 474, 1
128, 45, 194, 649, 1
129, 45, 218, 654, 1
130, -15, 251, 405, 1
131, 30, 217, 794, 1
132, 45, 273, 434, 1
133, -45, 298, 318, 1
134, -15, 221, 480, 1
135, -30, 246, 692, 1
136, 30, 255, 573, 1
137, -30, 250, 348, 1
138, 15, 242, 586, 1
139, 0, 257, 502, 1
140, 15, 211, 655, 1
141, 45, 236, 692, 1
142, 30, 245, 790, 1
143, 0, 289, 389, 1
144, -15, 234, 405, 1
145, 45, 230, 534, 1
146, -15, 196, 722, 1
147, -30, 247, 416, 1
148, 0, 266, 690, 1
149, -15, 223, 466, 1
150, 45, 258, 360, 1
151, 0, 270, 502, 1
152, -15, 239, 331, 1
153, 15, 193, 556, 1
154, 0, 242, 519, 1
155, 30, 252, 624, 1
156, 0, 224, 727, 1
157, 15, 276, 380, 1
158, 15, 240, 311, 1
159, -30, 278, 318, 1
160, 30, 224, 400, 1
161, -30, 196, 414, 1
162, -30, 213, 483, 1
163, 0, 240, 426, 1
164, -45, 231, 457, 1
165, -15, 219, 770, 1
166, 30, 199, 643, 1
167, 15, 248, 372, 1
168, 30, 216, 645, 1
169, -30, 197, 523, 1
170, -45, 218, 527, 1
171, -45, 208, 624, 1
172, 0, 214, 600, 1
173, 15, 230, 549, 1
174, -15, 226, 494, 1
175, 15, 197, 709, 1
176, 15, 212, 574, 1
177, -45, 233, 578, 1
178, 45, 238, 729, 1
179, -30, 274, 507, 1
180, 15, 179, 645, 1
181, -45, 274, 467, 1
182, -15, 186, 651, 1
183, -15, 176, 619, 1
184, -30, 8, 717, 1
185, -15, 269, 696, 1
186, 45, 289, 383, 1
187, 15, 233, 385, 1
188, -15, 229, 431, 1
189, 15, 238, 380, 1
190, 0, 214, 611, 1
191, 15, 229, 548, 1
192, 45, 199, 616, 1
193, -15, 279, 331, 1
194, 45, 207, 515, 1
195, 45, 244, 468, 1
196, 0, 273, 457, 1
197, 30, 267, 596, 1
198, -30, 72, 745, 1
199, -30, 251, 741, 1
200, 0, 220, 437, 1
201, -15, 204, 795, 1
